TerminalID,ProjectID,ComboID,Wiki,Name,Facility,Country,Status,OtherNames,Parent,StartYear1,StartYear2,StartYear3,StopYear,Capacity,CapacityUnits,CapacityInMtpa,Region,Location,Prefecture/District,State/Province,Latitude,Longitude,Accuracy,FID,FIDYear,Floating
T0559,0,T055900,https://www.gem.wiki/Teesside_GasPort_LNG_Terminal,Teesside GasPort LNG Terminal,Import,United Kingdom,Retired,,Trafigura Group,2007,,,2015,3,mtpa,3,Europe,Middlesbrough,,,54.57423,-1.23496,exact,,,yes
T0561,0,T056100,https://www.gem.wiki/Black_Sea_LNG_Terminal,Ukraine LNG Terminal,Import,Ukraine,Shelved,"Black Sea LNG Terminal, Odessa LNG Terminal",Government of Ukraine,,,,,7.3,mtpa,7.3,Europe,Yuzhnyi Port,,Odessa Oblast,46.623611,31.101111,approximate,Pre-FID,,yes
T0618,0,T061800,https://www.gem.wiki/MOL_FSRU_Challenger,MOL FSRU Challenger,Import,Turkey,Operating,D�rtyol LNG Terminal,MOL Group (.%); Vopak (.%),2018,,,,4.1,mtpa,4.1,Europe,D�rtyol,,Hatay,36.8555793,36.1314147,exact,FID,,yes
T0619,1,T061901,https://www.gem.wiki/Crimea_LNG_Terminal,Crimea LNG Terminal,Export,Ukraine,Proposed,,Gazprom; Petrel Resources,,,,,,,--,Europe,,,Crimea,45.3098595,33.9329082,approximate,Pre-FID,,
T0663,0,T066300,https://www.gem.wiki/Gothenburg_LNG_Terminal,Gothenburg LNG Terminal,Import,Sweden,Cancelled,,Vopak; Swedegas,,,,2019,0.4,mtpa,0.4,Europe,Gothenburg,,,57.70177,11.947963,approximate,Pre-FID,,
T0681,0,T068100,https://www.gem.wiki/Alexandroupolis_LNG_Terminal,Alexandroupolis LNG Terminal,Import,Greece,Proposed,,Gastrade (80%); Bulgartransgaz (20%),2023,,,,6.1,bcm/y,4.485294536,Europe,Aegean Sea,,,40.748354,25.718754,approximate,FID,,yes
T0683,0,T068300,https://www.gem.wiki/Ravenna_LNG_Terminal,Ravenna LNG Terminal,Import,Italy,Operating,,Petrolifera Italo Rumena; Edison S.p.A.,2021,,,,0.001,bcm/y,0.000735294,Europe,Port of Ravenna ,,,44.471734,12.248134,approximate,FID,,
T0687,0,T068700,https://www.gem.wiki/Lysekil_LNG_Terminal,Lysekil LNG Terminal,Import,Sweden,Operating,,Gasum (100%),2014,,,,0.2,mtpa,0.2,Europe,,,,58.274285,11.452119,approximate,,,
T0719,1,T071901,https://www.gem.wiki/Frederikshavn_LNG_Terminal,Frederikshavn LNG Terminal,Import,Denmark,Proposed,,Nordliq (100%),,,,,0.05,mtpa,0.05,Europe,Frederikshavn,,,57.436688,10.550949,approximate,Pre-FID,,
T0720,0,T072000,https://www.gem.wiki/Rauma_LNG_terminal,Rauma LNG Terminal,Import,Finland,Proposed,,AGA Gas,,,,,,,--,Europe,Rauma,,,61.130747,21.435687,approximate,Pre-FID,,
