Unit name,Unit name local script,Fuel type,Unit type,Country,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Basin,Concession / block,Project or complex,GEM Unit ID,Government unit ID,Wiki URL
Erskine,,oil and gas,field,United Kingdom,,57.0344,2.0553,exact,operating,2019,1987,1997,Ithaca Energy,Ithaca Energy [50%]; Chrysaor Holdings Limited [32%]; Serica Energy PLC [18%],Delek Group Limited [50%]; Harbour Energy PLC [32%]; Serica Energy PLC [18%],,,,OG0002005,,https://www.gem.wiki/Erskine_Oil_and_Gas_Field_(United_Kingdom)
Everest,,oil and gas,field,United Kingdom,,57.7458,1.8044,exact,operating,2019,1982,1993,Chrysaor Holdings Limited,Chrysaor Holdings Limited [100%],Harbour Energy PLC [100%],,,,OG0002006,,https://www.gem.wiki/Everest_Oil_and_Gas_Field_(United_Kingdom)
Fleming,,oil and gas,field,United Kingdom,,57.9738,1.821,exact,operating,2019,1982,1997,Chrysaor Holdings Limited,,,,,,OG0002013,,https://www.gem.wiki/Fleming_Oil_and_Gas_Field_(United_Kingdom)
Flyndre,,oil and gas,field,United Kingdom,,56.5705,2.5969,exact,operating,2019,1989,2016,Total Upstream UK Limited,,,,,,OG0002014,,https://www.gem.wiki/Flyndre_Oil_and_Gas_Field_(United_Kingdom)
Foinaven,,oil and gas,field,United Kingdom,,60.3166,-4.2808,exact,operating,2019,1992,1997,BP Exploration Operating Company,BP PLC [100%],BP P.L.C. [100%],,,,OG0002015,,https://www.gem.wiki/Foinaven_Oil_and_Gas_Field_(United_Kingdom)
Forties,,oil and gas,field,United Kingdom,,57.7368,0.9223,exact,operating,2019,1970,1975,Apache Corporation,Apache Corporation [97%]; other [3%],APA Coropration [97%],,,,OG0002016,,https://www.gem.wiki/Forties_Oil_and_Gas_Field_(United_Kingdom)
Galleon,,oil and gas,field,United Kingdom,,53.4926,1.8621,exact,operating,2019,1985,1994,Royal Dutch Shell,,,,,,OG0002023,,https://www.gem.wiki/Galleon_Oil_and_Gas_Field_(United_Kingdom)
Gannet A,,oil and gas,field,United Kingdom,,57.1847,1.0012,exact,operating,2019,1978,1993,Royal Dutch Shell,,,,,,OG0002025,,https://www.gem.wiki/Gannet_A_Oil_and_Gas_Field_(United_Kingdom)
Gannet E,,oil and gas,field,United Kingdom,,57.0813,0.8306,exact,operating,2019,1982,1998,Tailwind Energy,,,,,,OG0002029,,https://www.gem.wiki/Gannet_E_Oil_and_Gas_Field_(United_Kingdom)
Gannet F,,oil and gas,field,United Kingdom,,57.0789,0.967,exact,operating,2019,1969,1997,Royal Dutch Shell,,,,,,OG0002030,,https://www.gem.wiki/Gannet_F_Oil_and_Gas_Field_(United_Kingdom)
Gannet G,,oil and gas,field,United Kingdom,,57.238,1.0204,exact,operating,2019,1998,1999,Royal Dutch Shell,,,,,,OG0002031,,https://www.gem.wiki/Gannet_G_Oil_and_Gas_Field_(United_Kingdom)
Garten,,oil and gas,field,United Kingdom,,59.4897,1.5713,exact,operating,2019,,,Apache Corporation,,,,,,OG0002033,,https://www.gem.wiki/Garten_Oil_and_Gas_Field_(United_Kingdom)
Glendronach,,oil and gas,field,United Kingdom,,60.889,-2.242,exact,discovered,2019,2018,,TotalEnergies E&P UK,TotalEnergies E&P UK [60%]; INEOS E&P UK Limited [20%]; SSE E&P UK Limited [20%],TotalEnergies [60%]; INEOS [20%]; SSE PLC [20%],,,,OG0002034,,https://www.gem.wiki/Glendronach_Gas_Field
Glenelg,,oil and gas,field,United Kingdom,,56.9848,1.7848,exact,operating,2019,1999,2006,Total Upstream UK Limited,,,,,,OG0002035,,https://www.gem.wiki/Glenelg_Oil_and_Gas_Field_(United_Kingdom)
Glengorm,,oil and gas,field,United Kingdom,,57.1632,1.1068,exact,discovered,2019,2019,,CNOOC Limited,CNOOC Limited [unknown %]; TotalEnergies [unknown %],CNOOC Limited [unknown %]; TotalEnergies [unknown %],,,,OG0002036,,https://www.gem.wiki/Glengorm_Gas_Field
Glenlivet,,oil and gas,field,United Kingdom,,61.0825,-2.0931,exact,operating,2019,2009,2017,Total Upstream UK Limited,TotalEnergies E&P UK [60%]; DONG E&P UK Limited [20%]; SSE E&P UK Limited [20%],TotalEnergies [60%]; INEOS [20%]; SSE PLC [20%],,,,OG0002037,,https://www.gem.wiki/Glenlivet_Oil_and_Gas_Field_(United_Kingdom)
Golden Eagle,,oil and gas,field,United Kingdom,,57.9825,-0.9272,exact,operating,2019,2006,2014,CNOOC Limited,CNOOC Petroleum Europe Limited [36.5%]; NEO Energy Production UK Limited [31.6%]; Suncor Energy UK Limited [26.7%]; ONE-Dyas UK Limited [5.2%],CNOOC Limited [36.5%]; NEO Energy Production UK Limited [31.6%]; Suncor Energy Inc. [26.7%]; ONE-Dyas B.V. [5.2%],,,,OG0002040,,https://www.gem.wiki/Golden_Eagle_Oil_and_Gas_Field_(United_Kingdom)
Grant,,oil and gas,field,United Kingdom,,60.5879,1.7769,exact,operating,2019,1977,1998,Total Upstream UK Limited,,,,,,OG0002043,,https://www.gem.wiki/Grant_Oil_and_Gas_Field_(United_Kingdom)
Gryphon,,oil and gas,field,United Kingdom,,59.3525,1.5508,exact,operating,2019,1987,1993,Total Upstream UK Limited,,,,,,OG0002046,,https://www.gem.wiki/Gryphon_Oil_and_Gas_Field_(United_Kingdom)
Guillemot A,,oil and gas,field,United Kingdom,,57.1605,0.8342,exact,operating,2019,1979,1996,Anasuria Operating Company Limited,,,,,,OG0002047,,https://www.gem.wiki/Guillemot_A_Oil_and_Gas_Field_(United_Kingdom)
Harding,,oil and gas,field,United Kingdom,,59.2893,1.5325,exact,operating,2019,1988,1996,TAQA Europa B.V.,,,,,,OG0002054,,https://www.gem.wiki/Harding_Oil_and_Gas_Field_(United_Kingdom)
Harrier,,oil and gas,field,United Kingdom,,56.7237,2.1029,exact,operating,2019,1984,2017,Ithaca Energy,,,,,,OG0002055,,https://www.gem.wiki/Harrier_Oil_and_Gas_Field_(United_Kingdom)
Harris,,oil and gas,field,United Kingdom,,61.217,0.6979,exact,operating,2019,2008,2017,Korea National Oil Corporation,Dana [77%]; Cieco [23%],Korea National Oil Corporation [77%]; ITOCHU Corporation [23%],,,,OG0002056,,https://www.gem.wiki/Harris_Oil_and_Gas_Field_(United_Kingdom)
Hewett,,oil and gas,field,United Kingdom,,53.0208,1.7635,exact,operating,2019,1966,1969,Eni UK Limited,,,,,,OG0002062,,https://www.gem.wiki/Hewett_Oil_and_Gas_Field_(United_Kingdom)
Howe,,oil and gas,field,United Kingdom,,57.6368,1.3352,exact,operating,2019,1987,2004,Royal Dutch Shell,,,,,,OG0002066,,https://www.gem.wiki/Howe_Oil_and_Gas_Field_(United_Kingdom)
Hudson,,oil and gas,field,United Kingdom,,61.2489,0.7337,exact,operating,2019,1987,1993,Korea National Oil Corporation,,,,,,OG0002067,,https://www.gem.wiki/Hudson_Oil_and_Gas_Field_(United_Kingdom)
Humbly Grove,,oil and gas,field,United Kingdom,,51.2064,-0.9887,exact,operating,2019,,,EP UK Investments,,,,,,OG0002068,,https://www.gem.wiki/Humbly_Grove_Oil_and_Gas_Field_(United_Kingdom)
Huntington,,oil and gas,field,United Kingdom,,57.607,1.6364,exact,operating,2019,2007,2013,Premier Oil PLC,,,,,,OG0002070,,https://www.gem.wiki/Huntington_Oil_and_Gas_Field_(United_Kingdom)
